Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.43     0.00    52864     0.00     0.00  std::_Any_data::_M_access() const
  0.00      0.43     0.00    52614     0.00     0.00  entityx::ComponentHandle<Renderable, entityx::EntityManager>::ComponentHandle(entityx::EntityManager*, entityx::Entity::Id)
  0.00      0.43     0.00    52503     0.00     0.00  entityx::EntityManager::get(entityx::Entity::Id)
  0.00      0.43     0.00    52503     0.00     0.00  bool entityx::EntityManager::has_component<Renderable>(entityx::Entity::Id) const
  0.00      0.43     0.00    52392     0.00     0.00  entityx::EntityManager::ViewIterator<entityx::EntityManager::BaseView<false>::Iterator, false>::predicate()
  0.00      0.43     0.00    52392     0.00     0.00  entityx::EntityManager::ViewIterator<entityx::EntityManager::BaseView<false>::Iterator, false>::operator*()
  0.00      0.43     0.00    52392     0.00     0.00  entityx::EntityManager::ViewIterator<entityx::EntityManager::BaseView<false>::Iterator, false>::operator++()
  0.00      0.43     0.00    52392     0.00     0.00  Renderable* entityx::EntityManager::get_component_ptr<Renderable>(entityx::Entity::Id)
  0.00      0.43     0.00    52392     0.00     0.00  entityx::EntityManager::BaseView<false>::Iterator::next_entity(entityx::Entity&)
  0.00      0.43     0.00    52392     0.00     0.00  entityx::ComponentHandle<Renderable, entityx::EntityManager> entityx::EntityManager::component<Renderable, void>(entityx::Entity::Id)
  0.00      0.43     0.00    52392     0.00     0.00  entityx::ComponentHandle<SpatialData, entityx::EntityManager>::get()
  0.00      0.43     0.00    52392     0.00     0.00  entityx::ComponentHandle<Renderable, entityx::EntityManager> entityx::Entity::component<Renderable, void>()
  0.00      0.43     0.00    52392     0.00     0.00  entityx::ComponentHandle<Renderable, entityx::EntityManager>::valid() const
  0.00      0.43     0.00    52392     0.00     0.00  std::_Base_bitset<2ull>::_M_is_equal(std::_Base_bitset<2ull> const&) const
  0.00      0.43     0.00    52392     0.00     0.00  std::bitset<64ull>::operator==(std::bitset<64ull> const&) const
  0.00      0.43     0.00    52392     0.00     0.00  std::_Base_bitset<2ull>::_M_do_and(std::_Base_bitset<2ull> const&)
  0.00      0.43     0.00    52392     0.00     0.00  std::bitset<64ull>::operator&=(std::bitset<64ull> const&)
